name,cpf,age,data,address,state
Marcos Vinicius Cassiano,316.205.748-53,37,1988-01-06,"viela vieira
vila mantiqueira
44717-187 rios / sc",RONDÔNIA
José Campos,257.391.806-86,53,1971-06-10,"vereda cecilia porto, 76
vale do jatoba
48760518 freitas / rj",MATO GROSSO DO SUL
Srta. Valentina Vasconcelos,867.124.935-28,40,1984-08-31,"feira dias
vila de sá
82465754 peixoto paulista / al",SANTA CATARINA
Lucas Gabriel Fernandes,963.152.748-46,24,2000-03-15,"condomínio mariana pimenta
outro
06535-169 souza de alves / pa",PARAÍBA
Ana Clara Caldeira,479.501.823-50,58,1966-05-15,"feira lima, 4
santa amelia
64085-844 machado / mt",DISTRITO FEDERAL
Rodrigo Teixeira,638.701.524-35,53,1971-08-07,"condomínio de dias, 17
jardim são josé
83692737 vasconcelos / es",PARAÍBA
Isabelly Martins,027.483.965-29,38,1986-10-12,"esplanada erick da paz, 713
frei leopoldo
70364-112 sousa / ac",TOCANTINS
Asafe Abreu,213.409.876-78,52,1973-03-03,"lago hadassa campos, 2
serra verde
14053-195 vieira / df",AMAPÁ
Nathan Nascimento,523.410.897-04,28,1996-09-07,"lago de nogueira
renascença
65860809 vargas de goiás / pb",ACRE
Lívia Sales,438.261.095-89,53,1971-03-17,"conjunto alves, 65
grajaú
19461197 ribeiro de viana / pe",PIAUÍ
Raul Da Conceição,670.251.843-90,31,1993-06-05,"jardim yasmin nunes, 950
vila paris
97594349 pacheco de silveira / sc",RIO GRANDE DO NORTE
Eloah Macedo,374.982.016-31,31,1993-04-18,"viela de monteiro, 87
ipiranga
56871993 vieira de pereira / to",MATO GROSSO
Dr. Theo Da Luz,602.574.198-02,38,1986-06-24,"setor ribeiro, 78
cachoeirinha
42180-236 casa grande / rn",CEARÁ
Gael Henrique Melo,356.927.810-77,27,1997-10-20,"lago pastor
santa rita
99160352 das neves de borges / ba",ESPÍRITO SANTO
Dra. Marina Da Conceição,918.243.576-64,35,1989-12-06,"núcleo montenegro, 48
vila são francisco
17297519 araújo / am",SERGIPE
Alícia Nogueira,824.976.153-73,23,2001-03-14,"lago de monteiro
são josé
58601063 moura / al",RIO GRANDE DO NORTE
Daniel Moura,491.035.827-79,25,1999-12-19,"setor giovanna da cunha, 47
santa sofia
22230926 monteiro do campo / mt",BAHIA
Isis Sales,149.738.205-04,32,1992-09-15,"chácara de aparecida, 19
universitário
01658154 oliveira / mg",ESPÍRITO SANTO
Nina Leão,015.728.349-60,48,1976-04-12,"fazenda de castro
santa rita
83687639 da cruz / ba",TOCANTINS
Ana Carolina Souza,610.982.345-70,45,1979-05-30,"loteamento eduardo silva, 30
pindura saia
13961-803 lopes da mata / pe",SERGIPE
Davi Siqueira,351.462.908-06,31,1993-12-16,"avenida raul moura, 466
vila independencia 1ª seção
25095-584 nunes do sul / pa",AMAZONAS
Eloah Montenegro,862.109.375-86,59,1965-08-31,"vale de cavalcante
bernadete
19093-956 rocha / ro",PARAÍBA
Sr. João Felipe Pastor,367.195.082-02,56,1968-03-13,"recanto campos, 724
boa união 1ª seção
93389345 mendes da serra / al",SERGIPE
Danilo Pinto,429.768.013-04,26,1998-09-21,"avenida fogaça, 50
braúnas
91912033 pacheco / rj",TOCANTINS
Ana Gonçalves,521.368.097-68,38,1986-05-25,"ladeira marques
europa
45771-799 siqueira da mata / am",SANTA CATARINA
André Guerra,572.308.461-53,51,1973-08-06,"ladeira de barbosa, 15
alípio de melo
92456491 guerra / df",RIO GRANDE DO SUL
Pedro Henrique Monteiro,392.507.648-47,21,2003-03-30,"via abreu
custodinha
63018-899 pires / rj",RONDÔNIA
Ana Liz Gomes,107.659.843-93,18,2006-08-03,"lago araújo, 442
alto vera cruz
94722830 montenegro de nogueira / rj",PIAUÍ
Helena Araújo,806.134.752-08,22,2002-07-13,"largo de camargo, 645
nossa senhora de fátima
77145-691 duarte / pe",MINAS GERAIS
Pedro Novaes,807.196.354-20,36,1988-11-27,"conjunto de martins, 87
lourdes
28883018 campos de minas / ac",PERNAMBUCO
Sra. Beatriz Camargo,073.192.856-30,43,1982-02-22,"viela azevedo, 32
bairro das indústrias ii
42375-769 mendes do norte / ms",PARAÍBA
Thomas Das Neves,486.751.230-35,40,1984-04-22,"campo da costa, 79
alto caiçaras
11733-427 rios / ms",RIO DE JANEIRO
Giovanna Rodrigues,852.970.416-94,38,1986-08-11,"rodovia de alves, 3
são luiz
93923-684 sales alegre / al",MATO GROSSO DO SUL
Juliana Guerra,235.708.619-02,55,1969-11-23,"condomínio de da rocha, 98
jardim do vale
50081187 dias / rn",MATO GROSSO
Kamilly Santos,930.158.276-77,42,1982-05-13,"trecho beatriz cassiano, 1
mariano de abreu
30187906 vieira do sul / sp",RORAIMA
Anthony Gabriel Câmara,035.624.817-80,19,2006-02-02,"jardim de fogaça, 8
jonas veiga
02925337 machado / sp",RIO GRANDE DO SUL
Theo Freitas,681.342.579-09,33,1991-10-08,"campo de viana, 36
vitoria da conquista
20352987 sá / ce",SANTA CATARINA
Antonella Vieira,042.681.375-80,18,2006-03-21,"campo rebeca pereira, 885
ouro minas
81323384 silveira / go",PARANÁ
Lara Pastor,369.871.450-75,43,1981-03-29,"praia vitória sousa, 87
são francisco das chagas
67885-870 cassiano / ba",GOIÁS
Marina Andrade,652.409.783-10,20,2004-09-05,"alameda ravi novais, 39
aparecida
99463-208 pimenta do oeste / pb",RIO GRANDE DO SUL
Luiz Felipe Da Conceição,493.817.502-97,42,1982-07-24,"favela de lopes, 6
nova granada
62661788 porto de rodrigues / pi",ALAGOAS
Luiz Otávio Rodrigues,039.167.524-99,42,1983-01-11,"setor danilo lopes, 97
primeiro de maio
79467-416 freitas / pa",MATO GROSSO
Stella Nascimento,235.401.897-50,34,1991-01-02,"estação de lopes, 93
trevo
72296-470 rodrigues / ac",SANTA CATARINA
Benício Casa Grande,715.964.308-93,22,2002-05-06,"trevo da cruz, 8
vila piratininga
81739-737 da costa / se",RIO GRANDE DO NORTE
Dra. Kamilly Guerra,189.625.347-46,30,1994-10-28,"conjunto benjamin viana
vila primeiro de maio
90155-980 nascimento / sc",RIO GRANDE DO SUL
Maria Flor Oliveira,301.745.986-10,32,1992-10-12,"viaduto de ramos
vila minaslandia
14205887 freitas verde / ac",ESPÍRITO SANTO
Henrique Monteiro,650.197.384-84,38,1986-10-15,"aeroporto de nascimento, 30
pongelupe
38701421 araújo do norte / rn",PARÁ
Dra. Melina Pastor,586.043.719-66,42,1982-03-18,"praia da cruz, 4
mala e cuia
74129-155 nunes / df",MINAS GERAIS
Ana Júlia Rodrigues,620.791.385-02,40,1984-11-01,"via de fernandes, 3
mangabeiras
46236-435 da mota do norte / ro",PIAUÍ
Beatriz Rios,906.218.354-98,33,1991-06-25,"praia pinto, 855
gutierrez
94175229 casa grande / pa",RONDÔNIA
Aurora Borges,294.673.580-00,45,1980-02-17,"morro da rocha, 32
nova granada
09733513 gonçalves da serra / rj",RIO DE JANEIRO
Otávio Dias,437.619.802-13,58,1966-03-21,"colônia melo, 336
são gonçalo
40283-738 teixeira / go",ALAGOAS
José Pedro Moura,561.930.748-48,58,1966-11-18,"estação vinicius araújo, 68
tirol
43892143 nascimento / ro",TOCANTINS
Ísis Rios,532.708.649-65,48,1976-07-08,"lago freitas, 1
joão paulo ii
71684-491 lopes da mata / ap",SÃO PAULO
Luara Costa,387.402.659-00,60,1964-06-26,"avenida ana júlia barros, 434
vila santa monica 1ª seção
23064-752 da mata alegre / sc",SANTA CATARINA
Otto Albuquerque,285.136.940-70,29,1995-05-05,"loteamento de peixoto, 9
vila são dimas
66967-171 cavalcante / go",RIO DE JANEIRO
Lívia Gomes,627.308.915-95,29,1995-10-11,"residencial amanda da costa
cidade jardim
54547-431 machado de silva / es",ALAGOAS
Mariane Costela,153.209.784-05,32,1993-02-04,"travessa de araújo, 19
são lucas
94840-603 melo da mata / ac",PARANÁ
Marcela Rodrigues,495.061.378-20,24,2000-10-20,"alameda marina cavalcante, 38
corumbiara
39354297 novais / ma",AMAZONAS
Marcos Vinicius Machado,768.921.045-76,25,1999-10-23,"largo cavalcanti, 76
nossa senhora aparecida
12684975 jesus / pr",ALAGOAS
Bento Freitas,041.786.925-85,44,1980-09-04,"travessa ravi lucca souza, 31
jardinópolis
50152142 mendonça das pedras / mg",ACRE
André Albuquerque,813.405.927-97,55,1969-12-16,"esplanada de da rocha
mineirão
29816346 barros das pedras / ro",SANTA CATARINA
Asafe Costela,753.069.124-43,39,1985-10-08,"lagoa de da mota
vila são geraldo
70959-002 da paz / sc",SANTA CATARINA
Sr. Danilo Mendes,617.938.540-84,25,1999-11-25,"condomínio manuella guerra, 68
biquinhas
04656-259 rios / pi",ACRE
Mathias Pinto,270.364.189-31,47,1977-12-13,"rua lívia nogueira, 6
flamengo
18394-376 melo / sc",SANTA CATARINA
Ana Laura Alves,637.489.105-84,41,1983-09-07,"alameda de da mota, 32
bandeirantes
34711-598 camargo da mata / sc",TOCANTINS
Benjamin Da Rocha,081.349.257-23,20,2004-07-10,"largo miguel vargas, 78
ipe
91111225 vieira do campo / rs",AMAZONAS
Benjamin Ramos,813.094.657-20,33,1992-02-13,"aeroporto de barbosa, 27
estoril
22345446 borges de silva / pe",RIO GRANDE DO NORTE
Emanuelly Rezende,382.617.509-30,53,1971-03-15,"trevo de vasconcelos, 84
bairro das indústrias ii
44610-453 dias / rj",PERNAMBUCO
Nathan Fernandes,869.150.342-42,33,1991-12-06,"viaduto de barros, 15
boa união 1ª seção
18496655 da rosa das flores / rj",ESPÍRITO SANTO
Helena Azevedo,861.309.257-86,29,1995-06-14,"jardim souza, 154
jardim vitoria
96446612 câmara / ro",RIO GRANDE DO SUL
José Pedro Das Neves,756.018.432-44,34,1990-06-23,"praça de nascimento, 24
vila nova gameleira 2ª seção
41045-959 mendonça / al",AMAPÁ
Dr. Rafael Albuquerque,587.910.462-11,47,1978-01-01,"largo de machado, 22
são gabriel
35109987 duarte / se",ACRE
Ravi Vasconcelos,094.583.276-10,48,1976-07-10,"sítio levi aragão, 358
jonas veiga
19334-409 vieira / rn",SANTA CATARINA
Clara Araújo,265.140.893-05,59,1965-06-16,"residencial de das neves, 53
são joão
59571-423 marques / ac",RIO GRANDE DO NORTE
Eduardo Nogueira,436.120.957-06,48,1976-07-05,"núcleo de gonçalves, 45
santa cruz
78667-236 martins / to",MINAS GERAIS
Beatriz Farias,169.785.304-84,40,1984-05-17,"campo de da cunha, 19
vila tirol
09336-476 vasconcelos / pr",RORAIMA
Sr. Pedro Da Conceição,427.065.183-08,47,1977-09-07,"jardim de vasconcelos, 28
barreiro
59461-530 aparecida / df",MATO GROSSO
Lívia Câmara,678.432.901-50,21,2003-06-07,"parque de aparecida, 24
castelo
61317-804 aragão / es",MINAS GERAIS
Lucas Almeida,520.379.641-61,32,1992-09-21,"loteamento de guerra, 91
conjunto bonsucesso
98347813 nascimento da praia / pr",SERGIPE
Rafael Azevedo,791.063.542-70,34,1990-04-24,"estação oliveira, 9
ventosa
13868057 moreira / rs",SANTA CATARINA
Ana Carolina Vargas,938.451.760-75,29,1995-08-22,"ladeira da mota, 64
europa
39786260 machado de goiás / pi",RIO GRANDE DO NORTE
Bella Correia,945.032.617-70,23,2001-07-07,"setor bella da luz, 415
cidade jardim taquaril
12532-580 cassiano das flores / ro",RIO GRANDE DO NORTE
Laís Vargas,596.270.831-86,36,1988-11-05,"trevo de das neves, 45
vila nova dos milionarios
84125-478 macedo / mg",ALAGOAS
Cauã Guerra,675.392.401-99,35,1989-07-07,"feira silveira, 4
lajedo
25947-745 machado do campo / ap",ALAGOAS
Miguel Rios,162.370.495-25,32,1992-09-19,"loteamento de nogueira, 56
vila do pombal
79222456 araújo / ms",RIO DE JANEIRO
Srta. Eduarda Costa,561.328.940-98,18,2007-02-02,"jardim luigi alves, 22
pousada santo antonio
83408-208 aparecida / sp",MARANHÃO
Luiz Felipe Moreira,768.032.514-62,34,1991-02-26,"conjunto de jesus, 4
flamengo
35119-299 duarte / pe",ACRE
Laura Ribeiro,187.354.290-97,30,1994-04-13,"estação maria luísa borges, 16
lagoinha leblon
87754-640 mendonça do amparo / pr",BAHIA
Cauã Marques,890.627.345-29,30,1995-01-16,"residencial de cavalcanti, 38
engenho nogueira
67023451 da paz / ac",ALAGOAS
